[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run CheckLang Behavior [ RunTime:0.002000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined index: tml_userinfo Cookie.class.php 第 32 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined index: authId PublicAction.class.php 第 117 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ view_template ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ view_template ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ view_parse ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ view_parse ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined variable: logoPic 8466ecdcf08090cdb30a5c42b78611a8.php 第 173 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined index: tml_remember Cookie.class.php 第 32 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | NOTIC: [8] Undefined variable: info 8466ecdcf08090cdb30a5c42b78611a8.php 第 271 行.
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019001s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ view_parse ] --END-- [ RunTime:0.020002s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020002s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: [ view_filter ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Tag[ view_filter ] --START--
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2018-09-30T10:18:24+08:00 ] /Admin/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
